hour,sharpe_ratio,profit_factor,win_rate,max_drawdown,total_return,trades,allowed_hours,sl,rsi_low,length_rsi,rsi_high,tp,position_type
9,1.9502412683743355,1.2415687115326406,0.15114768297964487,0.08184617775920905,30645.599999997095,2309,[9],3.5,36.0,7.0,60.0,27.900000000000002,short
10,-0.0004491761134639735,0.9435871911497514,0.4263347022587269,1.9680366986053806,-42593.60000000766,3896,[10],22.3,37.0,10.0,57.0,30.1,both
11,-0.000354971324859181,0.9012251381508651,0.40287339120023946,1.6287815709132265,-55839.800000004594,3341,[11],18.3,35.0,9.0,59.0,28.700000000000003,both
12,0.3482793136759812,1.038707060523839,0.2290292177191329,0.08867411389429014,1965.7999999999302,1061,[12],3.5,32.0,8.0,63.0,14.3,short
13,0.7972236496686161,1.0794408056732003,0.5260353596512473,0.15302895038898173,18067.000000001004,4129,[13],7.0,42.0,6.0,66.0,7.4,both
14,-0.0005781756812805912,0.8665352235892444,0.5064516129032258,1.1741336803626272,-32708.80000000247,1860,[14],29.200000000000003,37.0,9.0,74.0,18.5,both
15,0.8565032492292671,1.1088971372142498,0.394961763382816,0.19045783778575437,17732.199999998586,2223,[15],7.5,42.0,9.0,64.0,31.5,short
16,1.2272196910616298,1.2029448548090824,0.8848991637973438,0.09893220656494837,8308.40000000094,2033,[16],19.6,42.0,8.0,56.0,2.0,short
17,1.386221314911099,1.174223332561725,0.23556581986143188,0.07619714736411787,7978.0000000006985,1732,[17],2.0,38.0,8.0,68.0,25.3,short
