hour,sharpe_ratio,profit_factor,win_rate,max_drawdown,total_return,trades,rsi_high,allowed_hours,tp,position_type,sl,rsi_low,length_rsi
9,0.017763369029753784,1.0032314048986646,0.3609715242881072,0.4340142721509295,445.0,1194,75.0,[9],880.0,long,505.0,30.0,8.0
10,0.8614096087163806,1.096751506329734,0.52648790058862,0.2312434076245531,27651.0,1529,65.0,[10],1035.0,short,1050.0,31.0,6.0
11,1.2968633515309753,1.1556379829124226,0.8382617639496014,0.18847596317763382,64450.0,3889,58.0,[11],420.0,both,1885.0,37.0,9.0
12,0.8097545445653114,1.1049443177244063,0.34021949644932215,0.4593476035779449,31286.0,1549,63.0,[12],1715.0,long,820.0,29.0,8.0
13,0.3238267069094371,1.0422299777499182,0.7811715481171548,0.2456337764024662,7478.0,2390,62.0,[13],300.0,both,975.0,36.0,10.0
14,-0.009253715629558148,0.8985897420154962,0.5493197278911565,1.6811916022609297,-33035.0,1176,69.0,[14],1275.0,both,1770.0,28.0,10.0
15,0.1352811237630338,1.0292100289106452,0.6544561933534743,0.8394276629570747,13074.0,2648,56.0,[15],785.0,long,1390.0,44.0,8.0
16,-0.006158776155142697,0.9109898372844626,0.8579077429983526,1.4937041909415523,-38117.0,4856,57.0,[16],285.0,both,1835.0,37.0,6.0
17,0.38165759129783816,1.0679530700970759,0.17841726618705037,0.20728272071453108,6846.0,1390,77.0,[17],1300.0,both,245.0,26.0,6.0
